id,gender,age,breakfast,lunch,dinner,expend,frequency
1A00110101,2,41,0,0,0,4,
1A00110102,1,43,0,0,0,,
1A00310101,2,56,0,0,0,3,
1A00310301,2,44,0,0,0,4,
1A00310401,2,40,0,0,0,4,4
1A00310402,1,41,0,0,0,4,4
1A00310501,2,38,1,0,0,4,4
1A00310502,1,41,1,0,0,3,4
1A00410101,2,40,0,0,0,3,3
1A00410102,1,44,0,0,0,3,3
1A00410201,2,41,0,0,0,3,2
1A00410202,1,43,0,0,0,3,2
1A00510101,2,37,2,0,0,4,
1A00510201,2,48,1,0,0,3,3
1A00510202,1,51,0,0,0,3,3
1A00510203,2,21,1,2,2,4,3
1A00510301,2,37,0,0,0,4,4
1A00510302,1,41,0,0,0,3,4
1A00510501,2,58,0,0,0,3,3
1A00510502,1,58,0,0,0,3,3
1A00610301,2,36,0,0,0,3,3
1A00610302,1,39,0,0,0,3,3
1A00610401,2,50,0,0,0,3,2
1A00610402,1,54,0,0,0,3,2
1A00610601,2,50,0,0,0,3,2
1A00610602,1,52,0,0,0,3,2
1A00610603,1,30,0,0,0,3,2
1A00610701,2,42,0,0,0,3,3
1A00710301,2,50,0,0,0,3,3
1A00710302,1,53,0,0,0,3,3
1A00710303,2,21,0,0,0,3,3
1A00810301,2,34,0,0,0,4,3
1A00810302,1,35,0,0,0,3,3
1A00810601,2,30,0,0,0,3,3
1A00810602,2,25,0,0,0,3,3
1A00910301,2,37,0,0,0,2,3
1A00910302,1,42,0,0,0,3,3
1A00910601,2,42,0,0,0,3,
1A00910602,1,44,0,0,0,2,
1A01110401,2,41,0,0,0,3,4
1A01110601,2,55,1,0,0,3,3
1A01110602,1,58,0,0,0,3,3
1A01110603,1,27,0,0,0,3,3
1A01110604,2,23,0,0,0,4,3
1A01210301,2,59,0,0,0,3,6
1A01210302,1,60,0,0,0,2,6
1A01210401,2,37,0,0,0,2,2
1A01210402,1,40,0,0,0,2,2
1A01310101,2,57,0,0,0,1,2
1A01310102,1,63,0,0,0,3,2
1A01310201,2,52,1,0,0,1,2
1A01310202,1,55,0,0,0,2,2
1A01310203,2,24,0,0,0,3,2
1A01310401,2,59,0,0,0,2,4
1A01310402,1,31,2,0,0,3,4
1A01310501,2,54,0,0,0,2,3
1A01310502,1,56,0,0,0,2,3
1A01310601,2,48,0,0,0,2,3
1A01310602,1,51,0,0,0,3,3
1A01310701,2,41,1,0,0,3,4
1A01310702,1,44,0,0,0,1,4
1A01310703,2,68,0,0,0,3,4
1A01510401,2,43,0,0,0,3,3
1A01510402,1,45,0,0,0,2,3
1A01710201,2,51,0,0,0,4,3
1A01710202,1,53,0,0,0,4,3
1A01710203,2,23,0,0,0,2,3
1A01710204,1,21,0,0,0,2,3
1A01710401,2,71,0,0,0,2,3
1A01710402,1,73,0,0,0,4,3
1A01710501,2,63,0,0,0,2,3
1A01710502,1,64,0,0,0,4,3
1A01710503,1,35,0,0,0,3,3
1A01710601,2,51,0,0,0,2,3
1A01710602,1,52,0,0,0,4,3
1A01710603,2,23,0,0,0,3,3
1A01710801,2,49,0,0,0,3,3
1A01710802,1,50,0,0,0,3,3
1A01710803,1,19,0,0,0,3,3
1A01710901,2,61,0,0,0,3,3
1A01710902,1,63,0,0,0,3,3
1A01710903,2,35,0,0,0,4,3
1A01810101,2,63,0,0,0,3,4
1A01810102,1,55,0,0,0,3,4
1A01810103,2,35,0,0,0,3,4
1A01810104,1,33,0,0,0,3,4
1A01810201,2,64,0,0,0,4,3
1A01810202,1,64,0,0,0,2,3
1A01810203,1,36,0,0,0,4,3
1A01810501,2,51,0,0,0,2,3
1A01810502,1,54,0,0,0,3,3
1A01810503,1,23,0,0,0,4,3
1A01810701,2,51,0,0,0,3,3
1A01810702,1,52,0,0,0,3,3
1A01810703,1,22,0,0,0,3,3
1A01810801,2,50,0,0,0,3,2
1A01810802,1,50,0,0,0,3,2
1A01810803,1,19,0,0,0,3,2
1A01910201,2,51,0,0,0,3,2
1A01910202,1,54,0,0,0,3,2
1A02110201,2,70,0,0,0,,
1A02110202,1,73,0,0,0,,
1A02110501,2,58,0,0,0,,3
1A02110502,1,61,0,0,0,3,3
1A02110601,2,34,0,0,0,3,
1A02110602,1,36,0,0,0,2,
1A02210501,2,50,0,0,0,3,3
1A02210502,1,53,0,0,0,3,3
1A02210503,1,21,0,0,0,3,3
1A02310401,2,43,0,1,0,3,3
1A02310402,1,45,1,0,0,3,3
1A02410301,2,67,0,0,0,3,3
1A02510201,2,59,0,0,0,3,3
1A02510202,1,61,0,0,0,3,3
1A02710301,2,60,0,0,0,4,3
1A02710302,1,61,0,0,0,,3
1A02710401,2,62,0,0,0,,
1A02710402,1,63,0,0,0,3,
1A02710403,2,31,0,0,0,4,
1A02810301,2,68,0,0,0,,3
1A02810302,1,72,0,0,0,,3
1A02810401,2,53,0,0,0,4,4
1A02810402,1,61,0,0,0,3,4
1A02810403,2,28,0,0,0,3,4
1A02810901,2,71,0,0,0,,
1A02810902,1,74,0,0,0,,
1A02811001,2,42,0,0,0,3,3
1A02910201,2,55,0,0,0,,
1A02910202,1,59,0,0,0,0,
1A02910501,2,49,0,0,0,0,
1A02910502,1,53,0,0,0,0,
1A03010101,2,66,0,0,0,,
1A03010102,1,70,0,0,0,3,
1A03010401,2,60,0,0,0,,
1A03010402,1,63,0,0,0,3,
1A03110301,2,43,0,0,0,1,4
1A03110302,1,47,0,0,0,1,4
1A03210101,2,50,0,0,0,3,3
1A03210102,1,53,0,0,0,0,3
1A03210103,2,29,0,0,0,4,3
1A03210104,2,27,0,0,0,2,3
1A03310201,2,54,0,0,0,3,4
1A03310202,1,54,0,0,0,3,4
1A03310203,1,21,0,0,0,3,4
1A03310301,2,58,0,0,0,,3
1A03310302,1,61,0,0,0,,3
1A03310303,2,29,0,0,0,3,3
1A03310401,2,59,0,0,0,3,3
1A03310402,2,30,0,0,0,3,3
1A03310403,2,29,0,0,0,3,3
1A03410601,1,59,0,0,0,2,
1A03410602,2,56,0,0,0,4,
1A03510101,2,74,0,0,0,,
1A03510201,2,54,0,0,0,,3
1A03510202,1,57,0,0,0,,3
1A03510203,1,25,0,0,0,3,3
1A03510301,2,73,0,0,0,3,
1A03510302,1,74,0,0,0,,
1A03510401,2,73,0,0,0,,
1A03510402,1,74,0,0,0,,
1A03510501,2,72,0,0,0,,
1A03510701,2,67,0,0,0,,
1A03510702,1,44,0,0,0,3,
1A03510801,2,55,0,0,0,3,3
1A03510802,1,58,0,0,0,3,3
1A03510803,1,23,0,0,0,3,3
1A03510901,2,61,0,0,0,,3
1A03510902,1,63,0,0,0,,3
1A03510903,1,22,0,0,0,,3
1A03511001,2,48,0,0,0,3,3
1A03511002,1,59,0,0,0,3,3
1A03710101,2,70,0,0,0,,
1A03710201,2,45,0,0,0,4,
