시간대별시간,주문요일명,광역시도명,시군구명,업종명,주문요일(전처리),시간대(강서구),주문요일(강서구),주문요일전처리(강서구),시간대(송파구),주문요일(송파구),주문요일전처리(송파구)
10,수요일,서울특별시,도봉구,카페/디저트,평일,12,수요일,평일,14,토요일,주말
10,수요일,서울특별시,구로구,카페/디저트,평일,12,수요일,평일,15,토요일,주말
10,수요일,서울특별시,양천구,카페/디저트,평일,12,수요일,평일,15,토요일,주말
10,수요일,서울특별시,구로구,카페/디저트,평일,12,수요일,평일,16,토요일,주말
10,수요일,서울특별시,구로구,카페/디저트,평일,12,수요일,평일,16,토요일,주말
10,수요일,서울특별시,양천구,카페/디저트,평일,13,수요일,평일,16,토요일,주말
10,수요일,서울특별시,구로구,카페/디저트,평일,12,수요일,평일,16,토요일,주말
10,수요일,서울특별시,구로구,카페/디저트,평일,13,수요일,평일,16,토요일,주말
11,수요일,서울특별시,구로구,카페/디저트,평일,13,수요일,평일,17,토요일,주말
11,수요일,서울특별시,양천구,카페/디저트,평일,13,수요일,평일,17,토요일,주말
11,수요일,서울특별시,구로구,카페/디저트,평일,13,수요일,평일,17,토요일,주말
11,수요일,서울특별시,구로구,카페/디저트,평일,13,수요일,평일,18,토요일,주말
11,수요일,서울특별시,도봉구,카페/디저트,평일,13,수요일,평일,18,토요일,주말
11,수요일,서울특별시,구로구,카페/디저트,평일,13,수요일,평일,18,토요일,주말
11,수요일,서울특별시,은평구,카페/디저트,평일,14,수요일,평일,18,토요일,주말
11,수요일,서울특별시,구로구,카페/디저트,평일,14,수요일,평일,18,토요일,주말
11,수요일,서울특별시,구로구,카페/디저트,평일,14,수요일,평일,19,토요일,주말
12,수요일,서울특별시,강서구,카페/디저트,평일,14,수요일,평일,19,토요일,주말
12,수요일,서울특별시,양천구,카페/디저트,평일,14,수요일,평일,19,토요일,주말
12,수요일,서울특별시,강서구,카페/디저트,평일,14,수요일,평일,20,토요일,주말
12,수요일,서울특별시,구로구,카페/디저트,평일,14,수요일,평일,20,토요일,주말
