케익,빵,쿠키,머핀,베이글,파이,토스트,와플,호떡,마카롱,도넛
 대만파인애플 케익(펑리수), 식빵(쨈), 쿠키앤치즈케이크, 냉동 머핀 초코칩, 베이글, 초코칩 초코파이, 올리브영 H project 통밀 토스트칩52g,, 호떡빵, 마카롱, 도넛(링)
 핫케익, 모닝빵, 라즈베리 치즈케익쿠키, 에그 맥머핀(맥모닝), 치즈 베이글, 초코파이, 올리브영 H project 통밀 토스트칩52g,, 호떡빵, 마카롱, 찹쌀도넛
 핫케익, 팥빵, 라즈베리 치즈케익쿠키, 초코 머핀, 베이글, 초코파이, 추억의 옛날토스트,, 호떡빵, 마카롱, 도넛(링)
 핫케익, 식빵, ABC 초코쿠키, 머핀, 베이글, 빅파이, 토스트(딸기잼),, 호떡빵, 마카롱, 도넛(팥)
 라즈베리 치즈케익쿠키, 쏘세지빵, 초코칩 쿠키 미니, 베이컨 에그 맥머핀(맥모닝), 베이글, 명가찰떡파이, 프렌치토스트,, 호떡빵, 마카롱, 도넛(링)
 소프트 치즈케익 미니, 붕어빵, 사과맛 쿠키, 쁘띠초코머핀, 베이글, 초코파이, 토스트,, 호떡빵, 마카롱, 도넛(링)
 카페모카롤케익, 식빵, 머랭쿠키, 초코 머핀, 베이글, 초코파이, 추억의 옛날토스트,, 호떡빵, 마카롱, 시리얼우유도넛
 오예스 미니 마스카포네 치즈케익, 바게트빵, 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛, 초코 머핀, 베이글, 빅파이, 계란 토스트,, 꿀호떡 옛날꿀호떡, 마카롱, 도넛(링)
 핫케익, 찐빵(팥), 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛, 초코 머핀, 치즈베이글, 초코파이, 토스트,, 꿀호떡 옛날꿀호떡, 마카롱, 도넛(링)
 오예스 미니 마스카포네 치즈케익, 삼립호빵(단팥), 허벌라이프 뉴트리셔널 쉐이크 믹스 쿠키앤크림맛, 에그 맥머핀(맥모닝), 베이글, 초코파이, 계란 토스트,, 꿀호떡 요요, 마카롱, 도넛(링)
 핫케익, 붕어빵, 포춘쿠키, 소시지 맥머핀(맥모닝), 베이글, 후렌치파이 사과, 프렌치토스트,, 꿀호떡 옛날꿀호떡, 마카롱, 깨찰도넛
 핫케익, 찐빵(팥), 초코칩쿠키, 치즈 머핀, 치즈베이글, 초코파이, 프렌치토스트,, 꿀호떡 요요, 마카롱, 도넛(링)
 초코무스 조각케익, 식빵, 초코칩쿠키, 초코 머핀, 베이글, 빅파이, 토스트(딸기잼),, 호떡, 마카롱, 도넛(팥)
 핫케익, 호떡빵, 초코칩쿠키, 초코 머핀, 햄치즈베이글, 맥스파이시 상하이 버거, 프렌치토스트,, 꿀호떡 옛날꿀호떡, 마카롱, 롱스틱초코도넛
 핫케익, 붕어빵, 초코칩쿠키, 에그 맥머핀(맥모닝), 블루베리베이글, 초코파이, 토스트,, 호떡, 마카롱, 바바리안크림도넛
 핫케익, 붕어빵, 옹골진 오곡 쿠키, 블루베리머핀, 베이글, 초코파이, 프렌치토스트,, 호떡, 마카롱, 시리얼우유도넛
 오예스 미니 마스카포네 치즈케익, 슈크림빵, 옹골진 오곡 쿠키, 소시지 맥머핀(맥모닝), 블루베리 베이글, 초코파이, 계란 토스트,, 호떡, 마카롱, 도넛(링)
 핫케익, 건빵, 초코칩 쿠키, 초코 머핀, 치즈 베이글, 초코파이, 프렌치토스트,, 호떡, 마카롱, 도넛(링)
 핫케익, 건빵, 허쉬 초콜릿 칩 쿠키, 크림치즈 머핀, 베이글, 초코파이, 천연효모 그대로토스트,, 호떡, 마카롱, 롱스틱초코도넛
 라즈베리 치즈케익쿠키, 식빵(버터), 허쉬 초콜릿 칩 쿠키, 머핀, 블루베리 베이글, 명가찰떡파이, 프렌치토스트,, 호떡, 마카롱, 바바리안크림도넛
