날짜,시간대별시간,업종명,목적지광역시도명,목적지시군구명,주문건수,시간대별시간(강서구),주문건수(강서구)
2020-01-01,0,카페/디저트,서울특별시,구로구,1,10,1
2020-01-01,1,카페/디저트,서울특별시,구로구,2,19,1
2020-01-01,1,카페/디저트,서울특별시,금천구,1,22,1
2020-01-01,10,카페/디저트,서울특별시,강서구,1,22,1
2020-01-01,10,카페/디저트,서울특별시,관악구,1,17,2
2020-01-01,10,카페/디저트,서울특별시,구로구,3,22,2
2020-01-01,10,카페/디저트,서울특별시,금천구,1,14,1
2020-01-01,10,카페/디저트,서울특별시,동작구,1,22,1
2020-01-01,10,카페/디저트,서울특별시,서대문구,1,20,1
2020-01-01,11,카페/디저트,서울특별시,관악구,7,22,1
2020-01-01,11,카페/디저트,서울특별시,구로구,11,18,1
2020-01-01,11,카페/디저트,서울특별시,금천구,3,11,1
2020-01-01,11,카페/디저트,서울특별시,도봉구,5,22,1
2020-01-01,11,카페/디저트,서울특별시,동작구,3,18,1
2020-01-01,11,카페/디저트,서울특별시,성북구,1,15,1
2020-01-01,11,카페/디저트,서울특별시,양천구,3,22,1
2020-01-01,12,카페/디저트,서울특별시,관악구,9,18,1
2020-01-01,12,카페/디저트,서울특별시,구로구,14,13,1
2020-01-01,12,카페/디저트,서울특별시,금천구,1,11,1
2020-01-01,12,카페/디저트,서울특별시,노원구,2,19,1
2020-01-01,12,카페/디저트,서울특별시,도봉구,4,16,1
2020-01-01,12,카페/디저트,서울특별시,동작구,3,14,1
2020-01-01,12,카페/디저트,서울특별시,성북구,1,18,1
2020-01-01,12,카페/디저트,서울특별시,양천구,3,22,2
2020-01-01,13,카페/디저트,서울특별시,관악구,18,12,1
2020-01-01,13,카페/디저트,서울특별시,구로구,21,17,1
2020-01-01,13,카페/디저트,서울특별시,금천구,8,22,1
2020-01-01,13,카페/디저트,서울특별시,노원구,1,19,1
2020-01-01,13,카페/디저트,서울특별시,도봉구,2,11,1
2020-01-01,13,카페/디저트,서울특별시,동작구,4,11,1
2020-01-01,13,카페/디저트,서울특별시,서대문구,1,14,1
2020-01-01,13,카페/디저트,서울특별시,성북구,1,13,1
2020-01-01,13,카페/디저트,서울특별시,양천구,2,19,1
2020-01-01,14,카페/디저트,서울특별시,강북구,1,22,1
2020-01-01,14,카페/디저트,서울특별시,관악구,17,15,1
2020-01-01,14,카페/디저트,서울특별시,구로구,14,17,1
2020-01-01,14,카페/디저트,서울특별시,금천구,9,18,1
2020-01-01,14,카페/디저트,서울특별시,도봉구,4,19,2
2020-01-01,14,카페/디저트,서울특별시,동작구,6,22,1
2020-01-01,14,카페/디저트,서울특별시,서대문구,1,12,3
2020-01-01,14,카페/디저트,서울특별시,양천구,2,14,2
2020-01-01,14,카페/디저트,서울특별시,영등포구,1,15,3
2020-01-01,14,카페/디저트,서울특별시,은평구,1,17,1
2020-01-01,15,카페/디저트,서울특별시,관악구,16,19,3
2020-01-01,15,카페/디저트,서울특별시,구로구,20,20,4
2020-01-01,15,카페/디저트,서울특별시,금천구,6,16,1
