날짜,음식섭취등수값,음식명,음식섭취수,음식섭취비율,사용자연령값,시간
2020-01-01,1, 홈런볼 초코,1,14.285714, [0-19],0
2020-01-03,1, 식빵(쨈),2,5.128205, [20-29],19
2020-01-05,1, 모닝빵,1,11.111111, [20-29],3
2020-01-06,1, 팥빵,1,11.111111, [20-29],6
2020-01-08,1, 식빵,2,5, [0-19],7
2020-01-08,1, 쏘세지빵,1,25, [20-29],1
2020-01-11,1, 붕어빵,2,10, [20-29],0
2020-01-13,1, 식빵,1,50, [0-19],4
2020-01-13,1, 바게트빵,1,33.333333, [0-19],6
2020-01-16,1, 찐빵(팥),1,20, [20-29],6
2020-01-17,1, 삼립호빵(단팥),2,6.896552, [0-19],23
2020-01-17,1, 붕어빵,3,10, [20-29],16
2020-01-20,1, 찐빵(팥),1,7.692308, [20-29],7
2020-01-25,1, 식빵,2,22.222222, [0-19],7
2020-01-27,1, 호떡빵,1,6.666667, [20-29],22
2020-01-30,1, 붕어빵,1,100, [20-29],2
2020-01-31,1, 붕어빵,1,5, [20-29],20
2020-01-31,1, 슈크림빵,1,7.142857, [20-29],23
2020-01-01,1, 건빵,1,12.5, [0-19],0
2020-01-02,1, 건빵,1,12.5, [0-19],1
2020-01-09,1, 식빵(버터),3,21.428571, [0-19],2
2020-01-09,1, 붕어빵,4,7.54717, [0-19],21
2020-01-14,1, 붕어빵,3,15.789474, [0-19],23
2020-01-14,1, 식빵,2,66.666667, [20-29],1
2020-01-15,1, 찐빵(채소),2,4.166667, [20-29],10
2020-01-16,1, 식빵,1,50, [20-29],6
2020-01-17,1, 식빵,1,33.333333, [20-29],6
2020-01-18,1, 붕어빵,4,3.960396, [0-19],13
2020-01-18,1, 우유식빵,1,20, [20-29],6
2020-01-18,1, 붕어빵,1,12.5, [20-29],21
2020-01-20,1, 붕어빵,8,7.476636, [0-19],16
2020-01-23,1, 팥빵,1,20, [0-19],6
2020-01-24,1, 식빵(쨈),2,40, [0-19],7
2020-01-29,1, 초코소라빵,1,50, [0-19],4
2020-01-31,1, 붕어빵,1,5.263158, [20-29],20
2020-01-06,2, 식빵,5,3.205128, [0-19],16
2020-01-08,2, 크림빵,1,25, [20-29],1
2020-01-10,2, 우유식빵,2,2.439024, [20-29],18
2020-01-12,2, 호밀빵,1,3.225806, [20-29],14
2020-01-16,2, 붕어빵,4,3.053435, [0-19],17
2020-01-18,2, 붕어빵,1,3.846154, [20-29],21
2020-01-21,2, 식빵,2,9.52381, [0-19],0
2020-01-23,2, 식빵,1,50, [0-19],6
2020-01-23,2, 식빵,4,5.063291, [0-19],17
2020-01-27,2, 바게트빵,1,25, [0-19],3
2020-01-27,2, 호떡빵,2,11.111111, [0-19],8
2020-01-28,2, 호밀빵,1,7.142857, [20-29],6
2020-01-31,2, 팥빵,2,4, [20-29],17
2020-01-03,2, 크림빵,1,5.882353, [20-29],22
2020-01-04,2, 먹물치즈 미니식빵,1,3.225806, [20-29],19
2020-01-06,2, 식빵,5,4.347826, [0-19],16
2020-01-10,2, 모닝빵,2,4.651163, [20-29],15
2020-01-10,2, 식빵,2,6.25, [0-19],23
2020-01-15,2, 식빵,1,4, [20-29],7
2020-01-15,2, 붕어빵,2,4.545455, [20-29],14
2020-01-16,2, 식빵,2,4.255319, [20-29],16
2020-01-17,2, 식빵(쨈),2,6.25, [20-29],22
2020-01-19,2, 곰보빵,1,16.666667, [0-19],22
2020-01-20,2, 슈크림빵,1,25, [20-29],4
2020-01-25,2, 밤식빵,1,16.666667, [20-29],14
2020-01-31,2, 식빵,1,5.555556, [0-19],23
2020-01-01,3, 바게트빵,2,3.773585, [0-19],9
2020-01-04,3, 식빵,2,3.076923, [0-19],22
2020-01-04,3, 삼립호빵(단팥),1,10, [20-29],22
2020-01-09,3, 붕어빵,2,3.448276, [0-19],14
2020-01-10,3, 크림빵,1,2.5, [20-29],15
2020-01-12,3, 바게트빵,3,2.631579, [0-19],16
2020-01-12,3, 식빵,2,4.878049, [20-29],9
2020-01-14,3, 깨찰빵,1,11.111111, [20-29],1
2020-01-15,3, 쏘세지빵,1,3.448276, [20-29],9
2020-01-15,3, 붕어빵,3,3.448276, [20-29],17
2020-01-15,3, 식빵(버터),3,2.631579, [0-19],15
2020-01-15,3, 식빵(버터),2,5.128205, [0-19],23
2020-01-19,3, 마늘빵,2,3.773585, [20-29],15
2020-01-20,3, 삼립호빵(단팥),4,3.007519, [0-19],16
2020-01-23,3, 호밀빵,1,4.545455, [20-29],7
2020-01-23,3, 팥빵,1,4.347826, [20-29],22
2020-01-25,3, 쏘세지빵,2,11.111111, [0-19],23
2020-01-28,3, 곰보빵,3,4.347826, [0-19],22
2020-01-29,3, 우유식빵,2,11.111111, [0-19],23
2020-01-29,3, 호밀빵,2,6.896552, [20-29],16
2020-01-30,3, 계란빵,5,3.623188, [0-19],19
2020-01-03,3, 식빵(쨈),2,3.703704, [20-29],19
2020-01-05,3, 삼립호빵(단팥),1,4, [0-19],9
2020-01-12,3, 호밀빵,2,5.405405, [20-29],14
2020-01-13,3, 식빵,1,20, [0-19],4
2020-01-13,3, 식빵,1,4, [20-29],8
2020-01-13,3, 식빵,3,4.918033, [20-29],9
2020-01-17,3, 바나나빵,1,33.333333, [20-29],5
2020-01-23,3, 호밀빵,1,3.703704, [20-29],10
2020-01-24,3, 국화빵,1,33.333333, [0-19],0
2020-01-24,3, 찐빵(호빵),1,11.111111, [0-19],1
2020-01-24,3, 팥빵,1,16.666667, [0-19],3
2020-01-29,3, 붕어빵,4,3.252033, [0-19],12
2020-01-02,4, 식빵,5,2.03252, [0-19],12
2020-01-09,4, 찐빵(채소),1,2.702703, [0-19],7
2020-01-09,4, 마늘빵,3,2.884615, [0-19],10
2020-01-09,4, 식빵,3,2.307692, [0-19],16
2020-01-06,4, 식빵,3,3.333333, [0-19],8
2020-01-10,4, 쫄깃한 천연효모빵,1,2.5, [20-29],15
2020-01-10,4, 붕어빵,4,2.366864, [0-19],18
2020-01-11,4, 천연효모 호두 호밀식빵,1,12.5, [0-19],1
2020-01-15,4, 붕어빵,1,2.040816, [20-29],20
2020-01-19,4, 식빵,4,3.149606, [0-19],15
2020-01-20,4, 순수한맛 순우유식빵,2,5, [20-29],14
2020-01-21,4, 식빵,1,1.886792, [20-29],9
2020-01-24,4, 건빵,1,5, [20-29],15
2020-01-24,4, 팥빵,1,16.666667, [0-19],3
2020-01-24,4, 식빵,4,3.636364, [0-19],16
2020-01-04,4, 붕어빵,2,2.666667, [20-29],12
2020-01-05,4, 찐빵(호빵),1,14.285714, [20-29],7
2020-01-08,4, 식빵,1,3.333333, [20-29],10
2020-01-10,4, 붕어빵,4,4.255319, [0-19],16
2020-01-11,4, 식빵,2,4, [20-29],15
2020-01-11,4, 호밀빵,2,3.636364, [0-19],22
2020-01-16,4, 호밀빵,2,4.081633, [20-29],8
2020-01-18,4, 찐빵(피자),2,2.298851, [20-29],19
2020-01-24,4, 식빵,2,5.714286, [0-19],21
2020-01-28,4, 식빵(쨈),2,12.5, [0-19],7
2020-01-28,4, 옥수수식빵,1,3.846154, [0-19],23
2020-01-29,4, 찐빵(채소),1,2.631579, [0-19],9
2020-01-30,4, 곰보빵,1,10, [20-29],6
2020-01-03,5, 붕어빵,1,3.571429, [20-29],16
2020-01-09,5, 맘모스빵,1,9.090909, [20-29],6
2020-01-09,5, 팥빵,1,2.564103, [20-29],7
2020-01-05,5, 식빵,2,5.405405, [0-19],8
2020-01-10,5, 식빵,1,2.941176, [20-29],9
2020-01-10,5, 곰보빵,1,2.5, [20-29],15
2020-01-12,5, 팥빵,1,5.263158, [20-29],8
2020-01-19,5, 식빵,1,2.777778, [0-19],9
2020-01-21,5, 찐빵(호빵),1,11.111111, [0-19],2
2020-01-23,5, 식빵,2,2.564103, [0-19],9
2020-01-26,5, 모닝빵,1,2.083333, [0-19],20
2020-01-28,5, 식빵,1,2.325581, [20-29],16
2020-01-28,5, 붕어빵,1,14.285714, [20-29],3
2020-01-02,5, 식빵,2,2.898551, [0-19],16
2020-01-08,5, 초코소라빵,1,2, [0-19],22
