서울 지역(2019),여성총인구수(2019),서울 지역(2020),여성총인구수(2020),연령층(2019 중구),여성인구수(2019 중구),연령층(2020 중구),여성인구수(2020 중구),연령층(2019 강서구),여성인구수(2019 강서구),연령층(2020 강서구),여성인구수(2020 강서구),연령층(2019 송파구),여성인구수(2019 송파구),연령층(2020 송파구),여성인구수(2020 송파구)
강남구,3398415,강남구,1702409,20대 미만,88933,20대 미만,42777,20대 미만,549255,20대 미만,262385,20대 미만,682097,20대 미만,330533
강동구,2593172,강동구,1373252,20대,48997,20대,24755,20대,226332,20대,110766,20대,258378,20대,127031
강북구,1938175,강북구,961096,30대,60739,30대,30631,30대,300764,30대,149303,30대,342572,30대,170940
강서구,4412811,강서구,2204841,40대,50540,40대,25270,40대,271280,40대,135448,40대,328114,40대,166306
관악구,3000319,관악구,1492584,50대 이상,519790,50대 이상,262577,50대 이상,2328460,50대 이상,1166820,50대 이상,2577030,50대 이상,1293784
광진구,2183358,광진구,1085229,,,,,,,,,,,,
구로구,2460167,구로구,1231297,,,,,,,,,,,,
금천구,1379795,금천구,687463,,,,,,,,,,,,
노원구,3324862,노원구,1644595,,,,,,,,,,,,
도봉구,2061230,도봉구,1015952,,,,,,,,,,,,
동대문구,2088534,동대문구,1045236,,,,,,,,,,,,
동작구,2458465,동작구,1223008,,,,,,,,,,,,
마포구,2364171,마포구,1185370,,,,,,,,,,,,
서대문구,1934485,서대문구,974076,,,,,,,,,,,,
서초구,2701711,서초구,1347097,,,,,,,,,,,,
성동구,1862720,성동구,916049,,,,,,,,,,,,
성북구,2719639,성북구,1370543,,,,,,,,,,,,
송파구,4188191,송파구,2088594,,,,,,,,,,,,
양천구,2810041,양천구,1396331,,,,,,,,,,,,
영등포구,2223896,영등포구,1123895,,,,,,,,,,,,
용산구,1421203,용산구,713025,,,,,,,,,,,,
은평구,2995492,은평구,1489163,,,,,,,,,,,,
종로구,934730,종로구,464304,,,,,,,,,,,,
중구,5070814,중구,2533511,,,,,,,,,,,,
중랑구,2417667,중랑구,1196968,,,,,,,,,,,,
